ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"118.113.245.142","elite","AS4134","CN","282","Chinanet SC","2324","http","5002","53","9","17","2025-06-04T07:56:50.656Z","Chinanet","4193"
"222.68.42.88","elite","AS4812","CN","222","Chinanet SH","1080","http","5001","100","19","19","2025-06-04T07:55:45.752Z","China Telecom (Group)","68"
"91.103.120.48","elite","AS215355","HK","245","Alice Networks LTD","80","http","489","100","8","8","2025-06-04T07:54:23.315Z","Alice Networks LTD","155"
"47.91.65.23","elite","AS45102","DE","4","ALICLOUD-GM","3128","http","5001","100","21","21","2025-06-04T07:53:22.863Z","Alibaba.com LLC","98"
"114.91.25.59","elite","AS4812","CN","261","Chinanet SH","1080","http","5001","100","22","22","2025-06-04T07:52:18.179Z","China Telecom (Group)","1395"
"91.103.120.37","elite","AS215355","HK","241","Alice Networks LTD","80","http","485","100","19","19","2025-06-04T07:52:10.821Z","Alice Networks LTD","1981"
"188.245.239.104","elite","AS24940","DE","8","Hetzner","4001","http","3054","100","3","3","2025-06-04T07:50:43.918Z","Hetzner Online GmbH","2779"
"87.248.129.32","elite","AS216383","AE","83","N/A","80","http","5001","100","18","18","2025-06-04T07:50:30.247Z","ITEL","4812"
"123.30.154.171","elite","AS135905","VN","266","Vietnam Posts and Telecommunications Group","7777","http","6094","95","19","20","2025-06-04T07:50:15.816Z","VietNam Post and Telecom Corporation","66"
"118.113.244.150","elite","AS4134","CN","290","Chinanet SC","2324","http","5001","52","11","21","2025-06-04T07:50:06.737Z","Chinanet","4904"
"91.103.120.55","elite","AS215355","HK","244","Alice Networks LTD","80","http","785","100","8","8","2025-06-04T07:49:25.147Z","Alice Networks LTD","126"
"185.88.177.197","elite","AS201691","IR","79","N/A","8080","http","277","100","8","8","2025-06-04T07:46:30.933Z","Fannavari Etelaate Samane Kavoshgar Ide Ltd.","4920"
"94.249.220.135","elite","AS12586","DE","9","Funknetz Wolff Ehrhardt","49200","http","446","100","18","18","2025-06-04T07:46:16.107Z","GHOSTnet GmbH","723"
"154.65.39.7","elite","AS37649","GB","81","N/A","80","http","4360","100","19","19","2025-06-04T07:46:13.521Z","Tigo Public IP","531"
"98.188.47.132","elite","AS22773","US","168","Cox Communications","4145","socks4","5001","36","21","59","2025-06-04T07:46:06.569Z","Cox Communications Inc.","62"
"81.7.86.154","elite","AS8764","LT","26","Telia Lietuva, AB","4145","socks4","116","98","750","769","2025-06-04T07:46:00.972Z","Telia Lietuva, AB","3815"
"209.182.192.90","elite","AS22611","US","143","InMotion Hosting, Inc","53794","socks4","597","99","3131","3154","2025-06-04T07:45:58.615Z","InMotion Hosting, Inc.","43"
"192.252.220.92","elite","AS46562","US","153","Total Server Solutions L.L.C","17328","socks4","5003","94","478","510","2025-06-04T07:45:37.975Z","Performive LLC","5119"
"83.56.15.57","elite","AS3352","ES","34","RIMA (Red IP Multi Acceso)","5678","socks4","5002","100","234","235","2025-06-04T07:45:32.399Z","Telefonica de Espana SAU","3718"
"113.160.132.195","elite","AS45899","VN","218","Vietnam Posts and Telecommunications Group","8080","http","5001","100","20","20","2025-06-04T07:45:28.047Z","VietNam Post and Telecom Corporation","56"
"98.170.57.231","elite","AS22773","US","258","Cox Communications","4145","socks4","5001","97","169","174","2025-06-04T07:45:26.079Z","Cox Communications Inc.","4704"
"123.154.154.26","elite","AS4837","CN","208","N/A","8085","http","5001","88","7","8","2025-06-04T07:45:22.479Z","CNC Group CHINA169 Zhejiang Province Network","172"
"51.81.93.148","elite","AS16276","US","87","OVH US LLC","25129","socks4","5002","84","2609","3103","2025-06-04T07:44:51.053Z","OVH SAS","4893"
"85.215.64.49","elite","AS8560","DE","4","Strato GmbH","80","http","11","100","20","20","2025-06-04T07:44:50.299Z","IONOS SE","3474"
"80.249.112.166","elite","AS209638","IR","91","Parsian Technology Innovative Solution Co., PJS","80","http","4390","59","13","22","2025-06-04T07:44:49.941Z","Parsian Technology Innovative Solution Co., PJS.","36"
"65.49.68.84","elite","AS6939","US","154","Hurricane Electric","42571","socks4","5001","42","311","744","2025-06-04T07:44:43.813Z","Hurricane Electric LLC","46"
"78.128.124.108","elite","AS48584","BG","33","Sarnica-Net LTD","5678","socks4","150","88","7","8","2025-06-04T07:44:17.389Z","Sarnica-Net LTD","1281"
"111.125.242.34","transparent","AS24554","IN","152","Five Network Solution India Limited","1111","http","5001","100","6","6","2025-06-04T07:42:59.265Z","NIXI","49"
"46.249.123.26","transparent","AS201150","IR","101","N/A","8080","http","211","72","13","18","2025-06-04T07:42:25.773Z","Didehban Net Company","3997"
"192.111.139.163","elite","AS46562","US","150","Total Server Solutions L.L.C.","19404","socks4","5001","100","74","74","2025-06-04T07:42:05.613Z","Performive LLC","4884"
"156.239.37.76","elite","AS400619","US","146","Fastmos Co Limited","3128","socks4","295","99","86","87","2025-06-04T07:41:57.934Z","Arosscloud Inc.","1814"
"72.37.217.3","elite","AS46562","US","159","I Am Responding","4145","socks4","5001","100","8","8","2025-06-04T07:41:54.782Z","PacketExchange","4905"
"182.204.179.34","elite","AS4134","CN","282","Chinanet LN","1080","http","5001","85","17","20","2025-06-04T07:41:49.012Z","Chinanet","47"
"107.181.168.145","elite","AS46562","US","158","Total Server Solutions L.L.C","4145","socks4","5001","92","569","617","2025-06-04T07:41:49.213Z","Performive LLC","4789"
"116.104.3.245","elite","AS7552","VN","337","Viettel Group","1080","socks4","5001","57","12","21","2025-06-04T07:41:41.193Z","Viettel Corporation","31"
"103.245.205.226","transparent","AS9441","BD","178","Nextonline Limited","6969","http","365","100","21","21","2025-06-04T07:41:37.567Z","Next Online Limited","4605"
"5.189.130.207","elite","AS51167","FR","7","Contabo GmbH","10036","socks4","5001","99","9804","9858","2025-06-04T07:41:16.667Z","Contabo GmbH","2211"
"41.139.11.69","elite","AS35091","GH","141","TeledataICTBlock YZone","32534","socks4","5001","86","214","248","2025-06-04T07:41:11.550Z","Teledata, Ghana","4701"
"185.105.102.179","elite","AS58224","IR","68","Telecommunication Company of Iran","80","http","551","100","19","19","2025-06-04T07:41:08.889Z","Iran Telecommunication Company PJS","55"
"45.86.6.137","transparent","AS43395","IR","126","N/A","8080","http","5001","86","18","21","2025-06-04T07:41:08.044Z","Ayandeh Gostar Bastak Co. P. J. S","137"
"154.85.58.149","elite","AS55967","SG","232","Beijing Baidu Netcom Science and Technology Co., Ltd.","80","http","886","100","21","21","2025-06-04T07:41:06.158Z","Beijing Baidu Netcom Science and Technology Co., Ltd.","3911"
"8.219.97.248","elite","AS45102","SG","240","Alibaba.com Singapore E-Commerce Private Limited","80","http","5002","100","20","20","2025-06-04T07:41:02.495Z","Alibaba Cloud (Singapore) Private Limited","1614"
"103.63.26.119","transparent","AS138089","ID","175","N/A","8080","http","705","100","20","20","2025-06-04T07:40:58.238Z","PT Global Media Data Prima","4583"
"64.92.125.145","elite","AS21777","US","124","Netfronts, Inc","59423","socks4","494","100","3069","3081","2025-06-04T07:40:47.274Z","Massive Networks","5081"
"67.201.59.70","elite","AS46562","US","163","Total server solutions","4145","socks4","5001","96","732","765","2025-06-04T07:40:46.435Z","PacketExchange","2102"
"216.158.246.90","transparent","AS33152","US","850","Kit Carson Electric Cooperative, Inc","51012","http","5002","90","18","20","2025-06-04T07:40:39.842Z","Kit Carson Electric Cooperative, Inc","2098"
"142.93.202.130","elite","AS14061","US","82","DigitalOcean, LLC","3128","http","179","100","6","6","2025-06-04T07:40:39.904Z","DigitalOcean, LLC","391"
"202.137.141.26","elite","AS9873","LA","224","Laotelecom","5678","socks4","1456","94","2973","3153","2025-06-04T07:40:23.789Z","Lao Telecommunication Public Company","2611"
"199.58.184.97","elite","AS46562","US","144","Performive LLC","4145","socks4","5001","100","8","8","2025-06-04T07:40:19.994Z","Performive LLC","57"
"36.50.112.145","transparent","AS63859","ID","179","N/A","8080","http","719","100","20","20","2025-06-04T07:40:12.152Z","MYREPUBLIC","3008"
"111.72.194.201","elite","AS4134","CN","274","Chinanet JX","2324","http","5001","84","16","19","2025-06-04T07:40:10.525Z","Chinanet","71"
"111.72.193.66","elite","AS4134","CN","256","Chinanet JX","2324","http","5001","53","10","19","2025-06-04T07:40:03.831Z","Chinanet","2406"
"192.111.139.165","elite","AS46562","US","141","Total Server Solutions L.L.C.","4145","socks4","5003","100","73","73","2025-06-04T07:39:29.954Z","Performive LLC","4316"
"113.190.58.76","elite","AS45899","VN","217","Vietnam Posts and Telecommunications Group","8118","http","5002","16","3","19","2025-06-04T07:39:25.644Z","VietNam Post and Telecom Corporation","65"
"162.144.32.209","elite","AS46606","US","133","Unified Layer","61226","socks4","535","99","1760","1784","2025-06-04T07:39:07.312Z","Unified Layer","438"
"159.223.166.21","elite","AS14061","US","89","DigitalOcean, LLC","25154","socks4","357","100","1903","1903","2025-06-04T07:39:06.366Z","DigitalOcean, LLC","3902"
"47.88.59.79","elite","AS45102","US","148","Alibaba.com LLC","82","http","597","100","8","8","2025-06-04T07:39:00.565Z","Alibaba (US) Technology Co., Ltd.","3684"
"23.237.210.82","transparent","AS30058","US","122","FDCservers.net","80","http","5001","100","19","19","2025-06-04T07:38:56.139Z","FDCservers.net","889"
"117.102.115.154","elite","AS17451","ID","171","N/A","4153","socks4","5001","98","1885","1916","2025-06-04T07:38:45.914Z","BIZNET","3802"
"222.68.38.115","elite","AS4812","CN","237","Chinanet SH","1080","http","5001","90","18","20","2025-06-04T07:38:22.901Z","China Telecom (Group)","4384"
"109.236.82.229","elite","AS49981","NL","13","Worldstream","11527","socks4","61","96","2550","2648","2025-06-04T07:38:15.843Z","WorldStream B.V.","3582"
"203.19.38.114","elite","AS23764","HK","193","N/A","1080","http","5001","100","21","21","2025-06-04T07:38:02.596Z","China Telecom Global networks","5087"
"72.10.160.170","elite","AS36666","CA","89","N/A","17307","socks4","214","100","19","19","2025-06-04T07:37:58.029Z","GloboTech Communications","4994"
"72.10.160.90","elite","AS36666","CA","97","N/A","29041","socks4","201","99","72","73","2025-06-04T07:37:58.558Z","GloboTech Communications","55"
"70.166.167.38","elite","AS22773","US","155","Cox Communications","57728","socks4","5001","96","252","262","2025-06-04T07:37:57.056Z","Cox Communications Inc.","4622"
"49.67.128.180","elite","AS4134","CN","259","Chinanet JS","8089","socks4","5002","75","15","20","2025-06-04T07:37:50.792Z","Chinanet","4582"
"37.68.74.179","elite","AS15557","FR","37","SFR Infra","80","socks4","5001","100","66","66","2025-06-04T07:37:45.191Z","Societe Francaise Du Radiotelephone - SFR SA","3677"
"58.69.161.62","transparent","AS9299","PH","201","Philippine Long Distance Telephone Company","8082","http","820","95","20","21","2025-06-04T07:37:33.295Z","Philippine Long Distance Telephone Co.","48"
"67.222.106.44","elite","AS33494","US","129","IHNetworks, LLC","43667","socks4","5001","99","579","585","2025-06-04T07:37:25.785Z","IHNetworks, LLC","4107"
"202.144.134.150","elite","AS18024","BT","185","Tyangtsedz","5678","socks4","5002","100","214","214","2025-06-04T07:37:01.551Z","Bhutan Telecom Ltd","3913"
"167.71.211.171","elite","AS14061","SG","157","DigitalOcean, LLC","30494","http","692","88","7","8","2025-06-04T07:36:29.189Z","DigitalOcean, LLC","48"
"221.230.77.10","elite","AS4134","CN","234","Chinanet JS","10800","socks4","5001","94","174","186","2025-06-04T07:36:20.057Z","Chinanet","64"
"190.93.176.97","elite","AS262183","PY","221","Multi Link S.A","60606","socks4","5001","99","79","80","2025-06-04T07:36:10.255Z","Multi Link S.A.","54"
"171.41.131.83","elite","AS4134","CN","281","Chinanet HB","2324","http","5001","68","15","22","2025-06-04T07:36:10.977Z","Chinanet","3297"
"184.178.172.18","elite","AS22773","US","161","Cox Communications Inc.","15280","socks4","5009","100","74","74","2025-06-04T07:35:49.154Z","Cox Communications Inc.","48"
"190.151.166.99","elite","AS27813","AR","235","Teledifusora S.A","4153","socks4","1","96","3034","3168","2025-06-04T07:35:45.135Z","Teledifusora S.A.","1502"
"202.159.35.161","elite","AS9340","ID","167","N/A","443","socks4","1","99","9775","9895","2025-06-04T07:35:45.839Z","PT IndoInternet","194"
"139.198.120.15","elite","AS58466","HK","300","Yunify Technologies Inc.","29527","socks5","1","99","3173","3196","2025-06-04T07:35:44.062Z","Yunify Technologies Inc","709"
"103.60.187.1","elite","AS135729","IN","163","Digital Telco Network India Pvt. Ltd.","52195","socks4","1","99","9838","9890","2025-06-04T07:35:43.061Z","Digital Telco Network India Pvt. Ltd.","234"
"207.180.204.122","elite","AS51167","FR","10","Contabo GmbH","5583","socks4","1","98","3080","3134","2025-06-04T07:35:43.740Z","Contabo GmbH","1104"
"144.91.89.245","elite","AS51167","FR","13","Contabo GmbH","1981","socks5","1","89","8835","9918","2025-06-04T07:35:43.827Z","Contabo GmbH","1093"
"115.79.26.196","elite","AS7552","VN","246","N/A","1080","socks4","1","44","1405","3169","2025-06-04T07:35:43.983Z","VIETELftth","1066"
"167.99.12.224","elite","AS14061","US","92","Digital Ocean","49463","socks4","1","100","9837","9844","2025-06-04T07:35:43.741Z","DigitalOcean, LLC","1005"
"27.153.201.170","elite","AS4134","CN","245","N/A","1080","socks4","1","34","3391","9911","2025-06-04T07:35:43.974Z","Chinanet","981"
"104.19.235.10","elite","AS13335","CA","4","Cloudflare, Inc.","80","socks5","1","100","9850","9851","2025-06-04T07:35:43.841Z","Cloudflare, Inc.","383"
"151.232.18.66","elite","AS58224","IR","98","N/A","5678","socks4","1","95","9389","9900","2025-06-04T07:35:43.553Z","Iran Telecommunication Company PJS","1592"
"85.214.155.58","elite","AS6724","DE","12","Strato AG","8080","socks5","1","100","2980","2981","2025-06-04T07:35:43.554Z","Strato AG","1398"
"36.95.189.165","elite","AS7713","ID","169","Telekomunikasi Indonesia","5678","socks4","1","91","2897","3177","2025-06-04T07:35:43.059Z","PT. Telekomunikasi Indonesia","491"
"116.106.107.76","elite","AS7552","VN","323","Viettel Group","1080","socks4","1","81","2389","2965","2025-06-04T07:35:42.151Z","Viettel Corporation","1089"
"65.21.190.215","elite","AS24940","FI","32","Hetzner","443","socks4","1","100","835","837","2025-06-04T07:35:42.152Z","Hetzner Online GmbH","995"
"49.48.120.123","elite","AS45758","TH","166","Triple T Broadband Public Company Limited","8080","socks5","1","100","109","109","2025-06-04T07:35:41.835Z","Triple T Broadband Public Company Limited","1119"
"36.93.184.42","transparent","AS7713","ID","231","HSI Indihome","8787","http","1110","100","8","8","2025-06-04T07:35:41.274Z","Telekomunikasi Indonesia","3374"
"45.70.237.135","elite","AS52468","EC","181","Negocios Y Telefonia Nedetel S.A","4145","socks4","1","98","9604","9826","2025-06-04T07:35:41.834Z","Ufinet Panama S.A.","1203"
"46.241.20.54","elite","AS21127","RU","88","JSC Zap-Sib TransTeleCom","4145","socks4","1","99","3160","3198","2025-06-04T07:35:41.233Z","ZSTTK","3086"
"84.236.32.196","elite","AS20845","HU","20","Digi","8080","socks4","1","75","7387","9847","2025-06-04T07:35:40.942Z","DIGI Tavkozlesi es Szolgaltato Kft.","3496"
"147.139.199.251","elite","AS45102","ID","177","Alibaba Cloud - ID","61524","socks5","1","99","9851","9908","2025-06-04T07:35:40.135Z","Alibaba Cloud LLC","1295"
"50.116.8.96","elite","AS63949","US","142","Linode","17477","socks5","1","78","7622","9806","2025-06-04T07:35:40.649Z","Akamai Technologies, Inc.","431"
"118.174.143.38","elite","AS131293","TH","189","TOT Public Company Limited","4153","socks4","1","97","3096","3197","2025-06-04T07:35:40.828Z","TOT Public Company Limited","2185"
"199.60.103.126","elite","AS209242","US","4","HubSpot, Inc.","80","socks4","1","100","9924","9926","2025-06-04T07:35:40.656Z","Cloudflare London, LLC","514"
"45.131.7.40","elite","AS209242","BZ","4","Inter Networks","80","socks4","1","100","2620","2620","2025-06-04T07:35:40.345Z","Cloudflare London, LLC","1172"